MutualFunds,Return
American National Growth,15.51
Arch Small Cap Equity,14.57
Bartlett Cap Basic,17.73
Calvert World International,10.31
Colonial Fund A,16.23
Common Sense Growth,16.04
Corefund Core Equity,18.77
Davis Convert Seurities,18.21
Deleware Small Cap,17.27
Dreyfus Premium Value,11.95
Federated Stocks & Bonds,13.81
First Invest FD for Income,12.44
Flag Inv Emerging Growth,15.39
Fortis Equity Capital,13.46
FPA Capital,23.66
Franklin STR GL UT,17.38
Gabelli Value Fund,22.45
IDS New Dimensions,18.38
John Hancock Growth & Income,18.06
Lord Abbett Dev Growth,22.75
Merrill Basic Value,20.35
MFS World Tot Return,13.09
New England Growth Opp,18.16
Oppenhmr Quest Small Cap,14.47
Phoenix Worldwide,15.78
Princor Bond,8.4
Stagecoach Disd Income,16.52
United Contl Income,12.59
Victory OH Regional,18.24
Zweig SR TR Apprec,14.8
