DBN,school_name,math_score,reading_score,writing_score
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,404,355,363
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,423,383,366
01M450,EAST SIDE COMMUNITY SCHOOL,402,377,370
01M458,FORSYTH SATELLITE ACADEMY,401,414,359
01M509,MARTA VALLE HIGH SCHOOL,433,390,384
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,557,332,316
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",574,522,525
01M650,CASCADES HIGH SCHOOL,418,417,411
01M696,BARD HIGH SCHOOL EARLY COLLEGE,604,624,628
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,400,395,387
02M288,FOOD AND FINANCE HIGH SCHOOL,393,409,392
02M294,ESSEX STREET ACADEMY,384,394,378
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,375,374,362
02M298,PACE HIGH SCHOOL,438,423,432
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",449,404,416
02M303,"FACING HISTORY SCHOOL, THE",358,353,340
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",388,375,385
02M308,LOWER MANHATTAN ARTS ACADEMY,392,403,405
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",390,408,390
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",370,373,384
02M374,GRAMERCY ARTS HIGH SCHOOL,391,391,394
02M376,NYC ISCHOOL,483,473,479
02M376,NYC ISCHOOL,483,473,479
02M392,MANHATTAN BUSINESS ACADEMY,s,s,s
02M393,BUSINESS OF SPORTS SCHOOL,s,s,s
02M394,EMMA LAZARUS HIGH SCHOOL,512,319,357
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,s,s,s
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,493,465,461
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,465,492,467
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,490,509,523
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,563,496,518
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,590,537,550
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,533,517,515
02M414,N.Y.C. MUSEUM SCHOOL,492,468,459
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,594,572,592
02M418,MILLENNIUM HIGH SCHOOL,553,528,533
02M419,LANDMARK HIGH SCHOOL,399,390,381
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,449,429,428
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,426,416,391
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,s,s,s
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,357,356,349
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,s,s,s
