timestamp,skill_excel,skill_r,skill_stat,int214_level,int214_att,std_ready,music_genres,salary,sec,gender,birthday,program
"4/8/2021, 18:34:26",ใช้งานประจำ,เคยเขียนบ้าง,Level 2,2,5,5,"Rock, Classic, metal, hiphop 90s",30000,Sec A,เพศชาย,7/1/2002,วิทย์-คณิต
"4/8/2021, 18:40:47",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 2,4,5,5,"Pop, Classic, Indy ",25000,Sec B,เพศชาย,13/6/2001,วิทย์-คณิต
"4/8/2021, 18:45:21",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 2,4,5,2,"Pop, Rap, Jazz, Anime and Japanese",25000,Sec A,เพศชาย,10/4/2002,วิทย์-คณิต
"4/8/2021, 18:48:20",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,4,4,3,"R&B, Rap",16000,Sec A,เพศชาย,19/6/2001,วิทย์-คณิต
"4/8/2021, 18:56:17",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 2,4,3,4,"R&B, Classic, Jazz, Blues",30000,Sec B,เพศชาย,17/11/2001,ศิลป์-คำนวณ
"4/8/2021, 18:59:29",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 2,3,5,4,"Pop, Rock, Rap",40000,Sec B,เพศชาย,1/1/2002,ศิลป์-คำนวณ
"4/8/2021, 19:08:00",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 2,2,5,5,"Pop, Musical, Classic",35000,Sec B,เพศหญิง,7/5/2002,วิทย์-คณิต
"4/8/2021, 19:12:06",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 1,3,3,3,"Pop, Rock, Jazz",15000,Sec A,เพศชาย,11/9/2001,วิทย์-คณิต
"4/8/2021, 19:12:32",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 1,5,2,2,"Pop, R&B",45000,Sec A,เพศหญิง,12/2/2002,วิทย์-คณิต
"4/8/2021, 19:22:13",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,4,3,"Pop, R&B, Jazz",40000,Sec A,เพศหญิง,12/8/2001,วิทย์-คณิต
"4/8/2021, 19:49:37",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 3,2,5,5,"Pop, Rock",20000,Sec B,เพศชาย,10/10/2001,ศิลป์-คำนวณ
"4/8/2021, 19:58:01",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,5,3,4,"Pop, Rock, Classic, EDM",100000,Sec A,เพศชาย,5/3/2002,วิทย์-คณิต
"4/8/2021, 20:24:11",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 1,5,4,5,"JPAN,KPOP",35000,Sec A,เพศชาย,29/7/2001,ศิลป์-คำนวณ
"4/8/2021, 20:24:28",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,4,2,3,"Pop, Rock, Classic",15000,Sec A,เพศชาย,12/9/2001,ศิลป์-คำนวณ
"4/8/2021, 20:27:32",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,5,4,4,"Pop, Rock, R&B, Classic",20000,Sec A,เพศชาย,4/5/2001,วิทย์-คณิต
